fielder_name,player_id,team_name,primary_position,primary_position_name,total_throws,total_throws_1b,total_throws_2b,total_throws_3b,total_throws_ss,total_throws_lf,total_throws_cf,total_throws_rf,total_throws_inf,total_throws_of,max_arm_strength,arm_1b,arm_2b,arm_3b,arm_ss,arm_lf,arm_cf,arm_rf,arm_inf,arm_of,arm_overall
"Isbel, Kyle",664728,,8,Center Fielder,357,0,0,0,0,0,357,0,0,357,91.6,,,,,,84.1,,,84.1,84.1
"McCarthy, Jake",664983,,8,Center Fielder,371,0,0,0,0,64,186,121,0,371,93.7,,,,,80.5,78.5,82.4,,80.3,80.3
"Pache, Cristian",665506,,8,Center Fielder,163,0,0,0,0,37,125,1,0,163,97.1,,,,,,91.5,,,91.4,91.4
"Taveras, Leody",665750,,8,Center Fielder,517,0,0,0,0,0,517,0,0,517,98.8,,,,,,91.3,,,91.3,91.3
"Chisholm Jr., Jazz",665862,,8,Center Fielder,386,0,8,110,0,0,268,0,118,268,93.2,,,85.3,,,86.9,,85.3,86.9,86.9
"Moniak, Mickey",666160,,8,Center Fielder,333,0,0,0,0,8,283,42,0,333,97.8,,,,,,83.4,,,83.6,83.6
"Bleday, JJ",668709,,8,Center Fielder,485,0,0,0,0,0,485,0,0,485,95.3,,,,,,89.3,,,89.3,89.3
"Martin, Austin",668885,,8,Center Fielder,242,0,55,0,0,62,125,0,55,187,95.3,,,,,87.0,86.6,,,87.0,87.0
"Mitchell, Garrett",669003,,8,Center Fielder,164,0,0,0,0,0,115,49,0,164,94.3,,,,,,90.5,,,89.7,89.7
"Suwinski, Jack",669261,,8,Center Fielder,249,0,0,0,0,78,153,18,0,249,93.1,,,,,86.8,86.6,,,86.7,86.7
"Friedl, TJ",670770,,8,Center Fielder,211,0,0,0,0,0,211,0,0,211,93.2,,,,,,85.4,,,85.4,85.4
"Ramos, Heliot",671218,,8,Center Fielder,283,0,0,0,0,117,155,11,0,283,92.3,,,,,86.3,86.8,,,86.5,86.5
"Freeman, Tyler",671289,,8,Center Fielder,220,0,13,7,13,0,187,0,33,187,95.9,,,,,,91.4,,,91.4,91.4
"Harris II, Michael",671739,,8,Center Fielder,325,0,0,0,0,0,325,0,0,325,95.7,,,,,,88.4,,,88.4,88.4
"Siani, Michael",672279,,8,Center Fielder,338,0,0,0,0,9,324,5,0,338,96.9,,,,,,87.0,,,86.9,86.9
"Robert Jr., Luis",673357,,8,Center Fielder,327,0,0,0,0,0,327,0,0,327,92.8,,,,,,85.4,,,85.4,85.4
"Meyers, Jake",676694,,8,Center Fielder,358,0,0,0,0,0,358,0,0,358,97.0,,,,,,84.7,,,84.7,84.7
"Rodríguez, Julio",677594,,8,Center Fielder,364,0,0,0,0,0,364,0,0,364,97.9,,,,,,91.0,,,91.0,91.0
"Thomas, Alek",677950,,8,Center Fielder,104,0,0,0,0,0,104,0,0,104,89.5,,,,,,85.5,,,85.5,85.5
"Meadows, Parker",678009,,8,Center Fielder,205,0,0,0,0,0,205,0,0,205,93.9,,,,,,87.5,,,87.5,87.5
"Bae, Ji Hwan",678225,,8,Center Fielder,88,0,1,0,0,0,57,30,1,87,92.6,,,,,,84.3,,,87.2,87.2
"Rafaela, Ceddanne",678882,,8,Center Fielder,648,0,22,1,348,0,276,1,371,277,98.3,,,,86.4,,92.1,,86.3,92.1,92.1
"Rojas, Johan",679032,,8,Center Fielder,292,0,0,0,0,0,292,0,0,292,101.2,,,,,,91.4,,,91.4,91.4
"Duran, Jarren",680776,,8,Center Fielder,528,0,0,0,0,211,317,0,0,528,93.6,,,,,87.9,88.3,,,88.2,88.2
"Outman, James",681546,,8,Center Fielder,109,0,0,0,0,0,109,0,0,109,93.7,,,,,,89.2,,,89.2,89.2
"Pages, Andy",681624,,8,Center Fielder,353,0,0,0,0,17,250,86,0,353,102.1,,,,,,92.8,92.3,,92.6,92.6
"Matos, Luis",682641,,8,Center Fielder,107,0,0,0,0,15,49,43,0,107,94.3,,,,,,,,,90.5,90.5
"Martínez, Angel",682657,,8,Center Fielder,71,0,3,8,0,26,29,5,11,60,92.1,,,,,,,,,86.7,86.7
"Doyle, Brenton",686668,,8,Center Fielder,543,0,0,0,0,0,543,0,0,543,102.6,,,,,,97.4,,,97.4,97.4
"Scott II, Victor",687363,,8,Center Fielder,129,0,0,0,0,1,126,2,0,129,90.8,,,,,,85.1,,,85.1,85.1
"McCray, Grant",687529,,8,Center Fielder,106,0,0,0,0,0,106,0,0,106,99.8,,,,,,97.1,,,97.1,97.1
"Crow-Armstrong, Pete",691718,,8,Center Fielder,414,0,0,0,0,0,414,0,0,414,100.6,,,,,,93.0,,,93.0,93.0
"Young, Jacob",696285,,8,Center Fielder,533,0,0,0,0,0,533,0,0,533,94.3,,,,,,86.2,,,86.2,86.2
"Merrill, Jackson",701538,,8,Center Fielder,390,0,0,0,0,0,390,0,0,390,99.2,,,,,,90.8,,,90.8,90.8
"Lee, Jung Hoo",808982,,8,Center Fielder,110,0,0,0,0,0,110,0,0,110,99.7,,,,,,94.2,,,94.2,94.2
"Peralta, David",444482,,9,Right Fielder,114,0,0,0,0,12,0,102,0,114,87.7,,,,,,,83.5,,83.2,83.2
"Pham, Tommy",502054,,9,Right Fielder,260,0,0,0,0,81,66,113,0,260,94.0,,,,,86.8,86.7,89.5,,88.4,88.4
"Marte, Starling",516782,,9,Right Fielder,228,0,0,0,0,0,0,228,0,228,96.8,,,,,,,91.0,,91.0,91.0
"Heyward, Jason",518792,,9,Right Fielder,165,0,0,0,0,16,1,148,0,165,95.6,,,,,,,89.9,,89.9,89.9
"Springer, George",543807,,9,Right Fielder,343,0,0,0,0,0,2,341,0,343,92.6,,,,,,,86.8,,86.8,86.8
"Grichuk, Randal",545341,,9,Right Fielder,136,0,0,0,0,37,0,99,0,136,92.1,,,,,,,86.4,,86.3,86.3
"Haniger, Mitch",571745,,9,Right Fielder,284,0,0,0,0,0,0,284,0,284,96.0,,,,,,,86.2,,86.2,86.2
"Yastrzemski, Mike",573262,,9,Right Fielder,284,0,0,0,0,0,23,261,0,284,91.1,,,,,,,87.2,,86.9,86.9
"Castellanos, Nick",592206,,9,Right Fielder,360,0,0,0,0,0,0,360,0,360,87.5,,,,,,,82.3,,82.3,82.3
"Gamel, Ben",592325,,9,Right Fielder,70,0,0,0,0,14,0,56,0,70,90.7,,,,,,,88.4,,87.7,87.7
"Renfroe, Hunter",592669,,9,Right Fielder,326,0,0,0,0,0,0,326,0,326,95.4,,,,,,,91.1,,91.1,91.1
"Duvall, Adam",594807,,9,Right Fielder,226,0,0,0,0,98,0,128,0,226,92.1,,,,,85.5,,88.3,,87.2,87.2
"Cave, Jake",595909,,9,Right Fielder,294,0,0,0,0,83,17,194,0,294,92.0,,,,,84.6,,87.2,,86.4,86.4
"Slater, Austin",596103,,9,Right Fielder,129,0,0,0,0,44,20,65,0,129,96.5,,,,,,,87.1,,86.9,86.9
"Kepler, Max",596146,,9,Right Fielder,280,0,0,0,0,0,0,280,0,280,93.0,,,,,,,87.2,,87.2,87.2
"Stewart, DJ",621466,,9,Right Fielder,68,2,0,0,0,17,0,49,0,66,95.7,,,,,,,,,87.6,87.6
"Margot, Manuel",622534,,9,Right Fielder,249,0,0,0,0,93,56,100,0,249,87.1,,,,,75.5,76.8,81.8,,79.0,79.0
"Santander, Anthony",623993,,9,Right Fielder,318,0,0,0,0,0,0,318,0,318,99.7,,,,,,,87.1,,87.1,87.1
"Fraley, Jake",641584,,9,Right Fielder,220,0,0,0,0,10,0,210,0,220,92.9,,,,,,,89.6,,89.5,89.5
"Rosario, Amed",642708,,9,Right Fielder,211,0,82,23,40,0,0,66,145,66,90.7,,80.0,,,,,87.6,83.1,87.6,87.6
"Tauchman, Mike",643565,,9,Right Fielder,160,0,0,0,0,35,22,103,0,160,89.8,,,,,,,84.3,,84.1,84.1
"Bouchard, Sean",656248,,9,Right Fielder,105,0,0,0,0,46,0,59,0,105,90.0,,,,,,,86.1,,85.9,85.9
"Thomas, Lane",657041,,9,Right Fielder,370,0,0,0,0,0,117,253,0,370,103.0,,,,,,92.5,92.2,,92.4,92.4
"Laureano, Ramón",657656,,9,Right Fielder,201,0,0,0,0,57,32,112,0,201,94.3,,,,,89.4,,90.2,,90.7,90.7
"Olivares, Edward",658668,,9,Right Fielder,133,0,0,0,0,1,0,132,0,133,96.1,,,,,,,91.5,,91.5,91.5
"Acuña Jr., Ronald",660670,,9,Right Fielder,144,0,0,0,0,0,0,144,0,144,100.2,,,,,,,90.5,,90.5,90.5
"Sánchez, Jesús",660821,,9,Right Fielder,327,0,0,0,0,13,0,314,0,327,95.6,,,,,,,88.3,,88.4,88.4
"Nootbaar, Lars",663457,,9,Right Fielder,314,0,0,0,0,85,54,175,0,314,98.6,,,,,87.4,86.2,88.9,,88.2,88.2
"Cabbage, Trey",663550,,9,Right Fielder,54,0,0,0,0,12,0,42,0,54,94.1,,,,,,,,,91.4,91.4
"Tucker, Kyle",663656,,9,Right Fielder,197,0,0,0,0,0,0,197,0,197,90.1,,,,,,,85.3,,85.3,85.3
"Conine, Griffin",665052,,9,Right Fielder,68,0,0,0,0,21,0,47,0,68,97.4,,,,,,,,,93.1,93.1
"Tatis Jr., Fernando",665487,,9,Right Fielder,238,0,0,0,0,0,0,238,0,238,100.7,,,,,,,95.8,,95.8,95.8
"Soto, Juan",665742,,9,Right Fielder,399,0,0,0,0,24,0,375,0,399,89.5,,,,,,,84.5,,84.7,84.7
"Lowe, Josh",666139,,9,Right Fielder,272,0,0,0,0,35,3,234,0,272,91.2,,,,,,,86.8,,86.7,86.7
"Fletcher, Dominic",666150,,9,Right Fielder,214,0,0,0,0,0,90,124,0,214,96.0,,,,,,87.4,89.9,,89.0,89.0
"Adell, Jo",666176,,9,Right Fielder,317,0,0,0,0,0,10,307,0,317,93.0,,,,,,,86.8,,86.7,86.7
"Benson, Will",666181,,9,Right Fielder,273,0,0,0,0,106,90,77,0,273,91.7,,,,,85.7,86.2,85.1,,85.7,85.7
"García, Adolis",666969,,9,Right Fielder,358,0,0,0,0,0,0,358,0,358,97.0,,,,,,,89.9,,89.9,89.9
"Myers, Dane",667472,,9,Right Fielder,93,0,0,0,0,7,16,70,0,93,98.7,,,,,,,95.4,,93.6,93.6
"Johnson, Bryce",669369,,9,Right Fielder,59,0,0,0,0,2,2,55,0,59,84.4,,,,,,,82.6,,82.6,82.6
"Call, Alex",669743,,9,Right Fielder,110,0,0,0,0,3,10,97,0,110,89.2,,,,,,,87.7,,87.5,87.5
"Wallner, Matt",670242,,9,Right Fielder,146,0,0,0,0,59,0,87,0,146,101.2,,,,,95.4,,97.5,,96.9,96.9
"Butler, Lawrence",671732,,9,Right Fielder,331,0,0,0,0,0,1,330,0,331,93.7,,,,,,,86.6,,86.5,86.5
"Pérez, Wenceel",672761,,9,Right Fielder,264,0,0,0,0,2,48,214,0,264,92.2,,,,,,,85.9,,85.5,85.5
"Suzuki, Seiya",673548,,9,Right Fielder,219,0,0,0,0,2,0,217,0,219,95.4,,,,,,,89.4,,89.4,89.4
"DeLuca, Jonny",676356,,9,Right Fielder,280,0,0,0,0,22,114,144,0,280,99.3,,,,,,89.6,90.9,,90.2,90.2
"Abreu, Wilyer",677800,,9,Right Fielder,332,0,0,0,0,16,1,315,0,332,100.7,,,,,,,95.0,,94.8,94.8
"Noel, Jhonkensy",678877,,9,Right Fielder,130,25,0,0,0,0,0,105,0,105,91.2,,,,,,,88.3,,88.3,88.3
"Carroll, Corbin",682998,,9,Right Fielder,503,0,0,0,0,0,266,237,0,503,88.6,,,,,,81.7,83.1,,82.6,82.6
"Frelick, Sal",686217,,9,Right Fielder,398,0,0,3,0,46,66,283,3,395,93.4,,,,,,83.2,88.2,,87.2,87.2
"Canzone, Dominic",686527,,9,Right Fielder,132,0,0,0,0,47,0,85,0,132,95.3,,,,,,,89.7,,90.2,90.2
"Crews, Dylan",686611,,9,Right Fielder,91,0,0,0,0,0,12,79,0,91,96.5,,,,,,,90.6,,89.6,89.6
"Brennan, Will",686823,,9,Right Fielder,214,0,0,0,0,31,17,166,0,214,94.0,,,,,,,88.3,,87.5,87.5
"Walker, Jordan",691023,,9,Right Fielder,102,0,0,0,0,0,0,102,0,102,98.6,,,,,,,94.2,,94.2,94.2
"Blackmon, Charlie",453568,,10,Designated Hitter,65,0,0,0,0,0,0,65,0,65,89.3,,,,,,,87.6,,87.6,87.6
"Grossman, Robbie",543257,,10,Designated Hitter,75,0,0,0,0,30,0,45,0,75,88.7,,,,,,,,,84.5,84.5
"Jankowski, Travis",608671,,10,Designated Hitter,105,0,0,0,0,29,16,60,0,105,91.9,,,,,,,86.6,,85.8,85.8
"Soler, Jorge",624585,,10,Designated Hitter,102,0,0,0,0,5,0,97,0,102,89.3,,,,,,,85.6,,85.3,85.3
"O'Hearn, Ryan",656811,,10,Designated Hitter,230,174,0,0,0,17,0,39,0,56,85.3,72.6,,,,,,,,79.3,79.3
"Alvarez, Yordan",670541,,10,Designated Hitter,139,0,0,0,0,139,0,0,0,139,87.5,,,,,82.5,,,,82.5,82.5
"Velázquez, Nelson",676369,,10,Designated Hitter,56,0,0,0,0,29,0,27,0,56,95.4,,,,,,,,,90.0,90.0
"Burleson, Alec",676475,,10,Designated Hitter,235,57,0,0,0,86,0,92,0,178,93.7,,,,,88.2,,86.0,,87.5,87.5
"Carpenter, Kerry",681481,,10,Designated Hitter,114,0,0,0,0,5,0,109,0,114,95.0,,,,,,,89.5,,89.1,89.1
