game_id,visit,inning,bat_team,outs,batter_id,runner_1b,runner_2b,runner_3b,event,col_7,col_8,team_iter,year,base_state,tagup_success,tagup_runs,re0,next_inning,next_bat_team,next_outs,next_base_state,re1,delta_run_exp,teamname,chosen_runner_strategy,adv_result
MIA202304300,CHN,8,1,0,arral001,sancj003,,bertj001,8/SF/F8XD.3-H;1-2,,,MIA,2023,101,True,1,1.591,8.0,1.0,1.0,010,1.689,0.09800000000000009,MIA,"[3, 1]","[1, 1]"
MIA202305030,ATL,5,0,0,harrm004,pillk001,ozunm001,,7/F7,,,MIA,2023,110,False,0,0.923,5.0,0.0,1.0,110,0.923,0.0,ATL,[],[]
MIA202305040,ATL,2,0,1,pillk001,,rosae001,ozunm001,9/SF/F9D.3-H;2-3,,,MIA,2023,011,True,1,0.59,2.0,0.0,2.0,001,1.369,0.779,ATL,"[3, 2]","[1, 1]"
MIA202305040,ATL,5,1,0,arral001,,solej001,bertj001,7/F7LS,,,MIA,2023,011,False,0,1.409,5.0,1.0,1.0,011,1.409,0.0,MIA,[],[]
MIA202305040,ATL,5,1,1,gurry001,,solej001,bertj001,9/F9S,,,MIA,2023,011,False,0,0.59,5.0,1.0,2.0,011,0.59,0.0,MIA,[],[]
MIA202305130,CIN,9,1,1,burdp001,delab001,arral001,,9/F9LS,,,MIA,2023,110,False,0,0.443,9.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202305140,CIN,1,1,0,arral001,coopg002,bertj001,,7/F7,,,MIA,2023,110,False,0,0.923,1.0,1.0,1.0,110,0.923,0.0,MIA,[],[]
MIA202305170,WAS,2,1,1,gurry001,seguj002,,delab001,7/SF/L78D.3-H,,,MIA,2023,101,True,1,0.498,2.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202305180,WAS,3,1,1,arral001,coopg002,seguj002,,7/F7LSF/FL,,,MIA,2023,110,False,0,0.443,3.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202305180,WAS,4,1,1,fortn001,burdp001,wendj002,,8/F89XD.2-3,,,MIA,2023,110,False,0,0.443,4.0,1.0,2.0,101,0.498,0.05499999999999999,MIA,[2],[1]
MIA202305300,SDN,7,0,0,cronj001,kim-h002,grist001,,8/L8D+,,,MIA,2023,110,False,0,0.923,7.0,0.0,1.0,110,0.923,0.0,SDN,[],[]
MIA202305300,SDN,9,0,1,kim-h002,,grist001,dixob001,8/SF/F89.3-H(UR),,,MIA,2023,011,True,1,0.59,9.0,0.0,2.0,010,1.327,0.737,SDN,[3],[1]
MIA202305310,SDN,4,1,0,gurry001,arral001,solej001,,9/L9D,,,MIA,2023,110,False,0,0.923,4.0,1.0,1.0,110,0.923,0.0,MIA,[],[]
MIA202306010,SDN,3,1,0,arral001,wendj002,,davij007,7/SF/F7LD.3-H(UR);1-2,,,MIA,2023,101,True,1,1.591,3.0,1.0,1.0,010,1.689,0.09800000000000009,MIA,"[3, 1]","[1, 1]"
MIA202306010,SDN,4,0,1,dixob001,,sotoj001,tatif002,8/SF/L8D.3-H,,,MIA,2023,011,True,1,0.59,4.0,0.0,2.0,010,1.327,0.737,SDN,[3],[1]
MIA202306030,OAK,2,1,1,delab001,solej001,,arral001,9/SF/L9.3-H,,,MIA,2023,101,True,1,0.498,2.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202306030,OAK,5,1,1,delab001,,arral001,davij007,9/SF/F9LD.3-H;2-3,,,MIA,2023,011,True,1,0.59,5.0,1.0,2.0,001,1.369,0.779,MIA,"[3, 2]","[1, 1]"
MIA202306040,OAK,4,1,1,stalj001,seguj002,,gurry001,9/SF/F9L.3-H,,,MIA,2023,101,True,1,0.498,4.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202306070,KCA,3,1,1,delab001,arral001,hampg001,,9/F89S,,,MIA,2023,110,False,0,0.443,3.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202306190,TOR,1,1,0,delab001,solej001,arral001,,8/L89D+,,,MIA,2023,110,False,0,0.923,1.0,1.0,1.0,110,0.923,0.0,MIA,[],[]
MIA202306220,PIT,2,1,1,wendj002,bertj001,,coopg002,8/SF/F8XD.3-H,,,MIA,2023,101,True,1,0.498,2.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202306240,PIT,9,1,1,davij007,arral001,hampg001,,7/F7S,,,MIA,2023,110,False,0,0.443,9.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202306240,PIT,10,1,1,gurry001,coopg002,,delab001,8/SF/F8XD.3-H(UR),,,MIA,2023,101,True,1,0.498,10.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202306250,PIT,1,1,1,sancj003,delab001,coopg002,,8/L8D,,,MIA,2023,110,False,0,0.443,1.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202307030,SLN,7,0,1,arenn001,goldp001,,nootl001,9/SF/L89D.3-H,,,MIA,2023,101,True,1,0.498,7.0,0.0,2.0,100,1.227,0.7290000000000001,SLN,[3],[1]
MIA202307030,SLN,8,0,1,nootl001,carld002,dejop001,,9/F89D,,,MIA,2023,110,False,0,0.443,8.0,0.0,2.0,110,0.443,0.0,SLN,[],[]
MIA202307040,SLN,1,1,1,wendj002,seguj002,coopg002,,9/F9D+,,,MIA,2023,110,False,0,0.443,1.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202307040,SLN,8,1,1,sancj003,delab001,stalj001,,8/F8XD+,,,MIA,2023,110,False,0,0.443,8.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202307050,SLN,1,1,0,seguj002,gurry001,coopg002,,7/F78XD.2-3,,,MIA,2023,110,False,0,0.923,1.0,1.0,1.0,101,1.591,0.6679999999999999,MIA,[2],[1]
MIA202307230,COL,6,1,1,gurry001,solej001,,arral001,8/SF/F8D.3-H,,,MIA,2023,101,True,1,0.498,6.0,1.0,2.0,100,1.227,0.7290000000000001,MIA,[3],[1]
MIA202307280,DET,8,1,0,wendj002,bertj001,,gurry001,8/SF/DP/F8XD.3-H;1X1(843),,,MIA,2023,101,True,1,1.591,8.0,1.0,2.0,000,1.102,-0.4889999999999999,MIA,"[3, 1]","[1, 0]"
MIA202307290,DET,7,0,1,haase001,vierm001,,shorz001,9/F9/DP.3XH(92),,,MIA,2023,101,False,0,0.498,7.0,1.0,0.0,000,0.0,-0.498,DET,[3],[0]
MIA202307300,DET,6,0,1,mckiz001,vierm001,shorz001,,7/F7L,,ibana001,MIA,2023,110,False,0,0.443,6.0,0.0,2.0,110,0.443,0.0,DET,[],[]
MIA202308020,PHI,4,0,0,turnt001,stotb001,castn001,,8/F89XD.2-3,,,MIA,2023,110,False,0,0.923,4.0,0.0,1.0,101,1.591,0.6679999999999999,PHI,[2],[1]
MIA202308020,PHI,10,1,1,bertj001,,sancj003,burgj001,9/SF/F9D.3-H,,,MIA,2023,011,True,1,0.59,10.0,1.0,2.0,010,1.327,0.737,MIA,[3],[1]
MIA202308030,PHI,7,0,1,turnt001,marsb002,,realj001,9/F9S,,,MIA,2023,101,False,0,0.498,7.0,0.0,2.0,101,0.498,0.0,PHI,[],[]
MIA202308130,NYA,3,1,0,chisj001,stalj001,wendj002,,8/F8D,,,MIA,2023,110,False,0,0.923,3.0,1.0,1.0,110,0.923,0.0,MIA,[],[]
MIA202308140,HOU,2,0,0,singj001,mccoc001,alvay001,,8/F8D,,,MIA,2023,110,False,0,0.923,2.0,0.0,1.0,110,0.923,0.0,HOU,[],[]
MIA202308140,HOU,8,0,0,singj001,mccoc001,alvay001,,7/F7LS,,,MIA,2023,110,False,0,0.923,8.0,0.0,1.0,110,0.923,0.0,HOU,[],[]
MIA202308250,WAS,5,0,1,abrac001,chavm001,calla002,,7/F7LSF/FL,,,MIA,2023,110,False,0,0.443,5.0,0.0,2.0,110,0.443,0.0,WAS,[],[]
MIA202308290,TBA,2,0,0,sirij001,brujv001,lowej002,,9/F9L.2-3,,,MIA,2023,110,False,0,0.923,2.0,0.0,1.0,101,1.591,0.6679999999999999,TBA,[2],[1]
MIA202308290,TBA,2,0,1,ralel001,brujv001,,lowej002,9/SF/F9D.3-H,,,MIA,2023,101,True,1,0.498,2.0,0.0,2.0,100,1.227,0.7290000000000001,TBA,[3],[1]
MIA202308300,TBA,4,0,1,parei001,,ramih004,diazy001,9/F3D,,,MIA,2023,011,False,0,0.59,4.0,0.0,2.0,011,0.59,0.0,TBA,[],[]
MIA202309060,LAN,4,1,1,delab001,chisj001,burgj001,,9/F9L,,,MIA,2023,110,False,0,0.443,4.0,1.0,2.0,110,0.443,0.0,MIA,[],[]
MIA202309060,LAN,5,1,0,bellj005,burgj001,arral001,,8/F8,,,MIA,2023,110,False,0,0.923,5.0,1.0,1.0,110,0.923,0.0,MIA,[],[]
MIA202309150,ATL,5,0,0,ozunm001,olsom001,rilea001,,9/L9D+.2-3,,,MIA,2023,110,False,0,0.923,5.0,0.0,1.0,101,1.591,0.6679999999999999,ATL,[2],[1]
MIA202309150,ATL,5,0,1,rosae001,olsom001,,rilea001,8/SF/F8.3-H;1-2,,,MIA,2023,101,True,1,0.498,5.0,0.0,2.0,010,1.327,0.829,ATL,"[3, 1]","[1, 1]"
MIA202309190,NYN,7,0,1,locat001,stewd002,mcnej002,,7/F78,,,MIA,2023,110,False,0,0.443,7.0,0.0,2.0,110,0.443,0.0,NYN,[],[]
MIA202309200,NYN,1,0,1,lindf001,maurr002,nimmb001,,9/F9LS,,,MIA,2023,110,False,0,0.443,1.0,0.0,2.0,110,0.443,0.0,NYN,[],[]
MIA202309220,MIL,6,0,1,perkb002,turab002,adamw002,,9/F9,,,MIA,2023,110,False,0,0.443,6.0,0.0,2.0,110,0.443,0.0,MIL,[],[]
