bases,outs,sp1,sp2,runner_eq,payoff
"[1, 2]",1,0.06,0.85,[2],0.5288719999999999
"[1, 2]",1,0.06,0.88,[2],0.5566975999999999
"[1, 2]",1,0.06,0.91,[2],0.5845232
"[1, 2]",1,0.06,0.94,[2],0.6123487999999999
"[1, 2]",1,0.06,0.97,[2],0.6401743999999999
"[1, 2]",1,0.06,1.0,[2],0.6679999999999999
"[1, 2]",1,0.09,0.0,[],0.0
"[1, 2]",1,0.09,0.03,[],0.0
"[1, 2]",1,0.09,0.06,[],0.0
"[1, 2]",1,0.09,0.09,[],0.0
"[1, 2]",1,0.09,0.12,[],0.0
"[1, 2]",1,0.09,0.15,[],0.0
"[1, 2]",1,0.09,0.18,[],0.0
"[1, 2]",1,0.09,0.21,[],0.0
"[1, 2]",1,0.09,0.24,[],0.0
"[1, 2]",1,0.09,0.26,[],0.0
"[1, 2]",1,0.09,0.29,[2],0.009460799999999908
"[1, 2]",1,0.09,0.32,[2],0.037286399999999956
"[1, 2]",1,0.09,0.35,[2],0.06511199999999986
"[1, 2]",1,0.09,0.38,[2],0.0929375999999999
"[1, 2]",1,0.09,0.41,[2],0.12076319999999986
"[1, 2]",1,0.09,0.44,[2],0.14858879999999994
"[1, 2]",1,0.09,0.47,[2],0.17641439999999992
"[1, 2]",1,0.09,0.5,[2],0.20423999999999992
"[1, 2]",1,0.09,0.53,[2],0.2320655999999999
"[1, 2]",1,0.09,0.56,[2],0.2598912
"[1, 2]",1,0.09,0.59,[2],0.28771679999999994
"[1, 2]",1,0.09,0.62,[2],0.3155424
"[1, 2]",1,0.09,0.65,[2],0.34336800000000006
"[1, 2]",1,0.09,0.68,[2],0.37119359999999996
"[1, 2]",1,0.09,0.71,[2],0.39901919999999996
"[1, 2]",1,0.09,0.74,[2],0.4268448000000001
"[1, 2]",1,0.09,0.76,[2],0.4453952
"[1, 2]",1,0.09,0.79,[2],0.4732207999999999
"[1, 2]",1,0.09,0.82,[2],0.5010463999999999
"[1, 2]",1,0.09,0.85,[2],0.5288719999999999
"[1, 2]",1,0.09,0.88,[2],0.5566975999999999
"[1, 2]",1,0.09,0.91,[2],0.5845232
"[1, 2]",1,0.09,0.94,[2],0.6123487999999999
"[1, 2]",1,0.09,0.97,[2],0.6401743999999999
"[1, 2]",1,0.09,1.0,[2],0.6679999999999999
"[1, 2]",1,0.12,0.0,[],0.0
"[1, 2]",1,0.12,0.03,[],0.0
"[1, 2]",1,0.12,0.06,[],0.0
"[1, 2]",1,0.12,0.09,[],0.0
"[1, 2]",1,0.12,0.12,[],0.0
"[1, 2]",1,0.12,0.15,[],0.0
"[1, 2]",1,0.12,0.18,[],0.0
"[1, 2]",1,0.12,0.21,[],0.0
"[1, 2]",1,0.12,0.24,[],0.0
"[1, 2]",1,0.12,0.26,[],0.0
"[1, 2]",1,0.12,0.29,[2],0.009460799999999908
"[1, 2]",1,0.12,0.32,[2],0.037286399999999956
"[1, 2]",1,0.12,0.35,[2],0.06511199999999986
"[1, 2]",1,0.12,0.38,[2],0.0929375999999999
"[1, 2]",1,0.12,0.41,[2],0.12076319999999986
"[1, 2]",1,0.12,0.44,[2],0.14858879999999994
"[1, 2]",1,0.12,0.47,[2],0.17641439999999992
"[1, 2]",1,0.12,0.5,[2],0.20423999999999992
"[1, 2]",1,0.12,0.53,[2],0.2320655999999999
"[1, 2]",1,0.12,0.56,[2],0.2598912
"[1, 2]",1,0.12,0.59,[2],0.28771679999999994
"[1, 2]",1,0.12,0.62,[2],0.3155424
"[1, 2]",1,0.12,0.65,[2],0.34336800000000006
"[1, 2]",1,0.12,0.68,[2],0.37119359999999996
"[1, 2]",1,0.12,0.71,[2],0.39901919999999996
"[1, 2]",1,0.12,0.74,[2],0.4268448000000001
"[1, 2]",1,0.12,0.76,[2],0.4453952
"[1, 2]",1,0.12,0.79,[2],0.4732207999999999
"[1, 2]",1,0.12,0.82,[2],0.5010463999999999
"[1, 2]",1,0.12,0.85,[2],0.5288719999999999
"[1, 2]",1,0.12,0.88,[2],0.5566975999999999
"[1, 2]",1,0.12,0.91,[2],0.5845232
"[1, 2]",1,0.12,0.94,[2],0.6123487999999999
"[1, 2]",1,0.12,0.97,[2],0.6401743999999999
"[1, 2]",1,0.12,1.0,[2],0.6679999999999999
"[1, 2]",1,0.15,0.0,[],0.0
"[1, 2]",1,0.15,0.03,[],0.0
"[1, 2]",1,0.15,0.06,[],0.0
"[1, 2]",1,0.15,0.09,[],0.0
"[1, 2]",1,0.15,0.12,[],0.0
"[1, 2]",1,0.15,0.15,[],0.0
"[1, 2]",1,0.15,0.18,[],0.0
"[1, 2]",1,0.15,0.21,[],0.0
"[1, 2]",1,0.15,0.24,[],0.0
"[1, 2]",1,0.15,0.26,[],0.0
"[1, 2]",1,0.15,0.29,[2],0.009460799999999908
"[1, 2]",1,0.15,0.32,[2],0.037286399999999956
"[1, 2]",1,0.15,0.35,[2],0.06511199999999986
"[1, 2]",1,0.15,0.38,[2],0.0929375999999999
"[1, 2]",1,0.15,0.41,[2],0.12076319999999986
"[1, 2]",1,0.15,0.44,[2],0.14858879999999994
"[1, 2]",1,0.15,0.47,[2],0.17641439999999992
"[1, 2]",1,0.15,0.5,[2],0.20423999999999992
"[1, 2]",1,0.15,0.53,[2],0.2320655999999999
"[1, 2]",1,0.15,0.56,[2],0.2598912
"[1, 2]",1,0.15,0.59,[2],0.28771679999999994
"[1, 2]",1,0.15,0.62,[2],0.3155424
"[1, 2]",1,0.15,0.65,[2],0.34336800000000006
"[1, 2]",1,0.15,0.68,[2],0.37119359999999996
"[1, 2]",1,0.15,0.71,[2],0.39901919999999996
"[1, 2]",1,0.15,0.74,[2],0.4268448000000001
"[1, 2]",1,0.15,0.76,[2],0.4453952
"[1, 2]",1,0.15,0.79,[2],0.4732207999999999
"[1, 2]",1,0.15,0.82,[2],0.5010463999999999
"[1, 2]",1,0.15,0.85,[2],0.5288719999999999
"[1, 2]",1,0.15,0.88,[2],0.5566975999999999
"[1, 2]",1,0.15,0.91,[2],0.5845232
"[1, 2]",1,0.15,0.94,[2],0.6123487999999999
"[1, 2]",1,0.15,0.97,[2],0.6401743999999999
"[1, 2]",1,0.15,1.0,[2],0.6679999999999999
"[1, 2]",1,0.18,0.0,[],0.0
"[1, 2]",1,0.18,0.03,[],0.0
"[1, 2]",1,0.18,0.06,[],0.0
"[1, 2]",1,0.18,0.09,[],0.0
"[1, 2]",1,0.18,0.12,[],0.0
"[1, 2]",1,0.18,0.15,[],0.0
"[1, 2]",1,0.18,0.18,[],0.0
"[1, 2]",1,0.18,0.21,[],0.0
"[1, 2]",1,0.18,0.24,[],0.0
"[1, 2]",1,0.18,0.26,[],0.0
"[1, 2]",1,0.18,0.29,[2],0.009460799999999908
"[1, 2]",1,0.18,0.32,[2],0.037286399999999956
"[1, 2]",1,0.18,0.35,[2],0.06511199999999986
"[1, 2]",1,0.18,0.38,[2],0.0929375999999999
"[1, 2]",1,0.18,0.41,[2],0.12076319999999986
"[1, 2]",1,0.18,0.44,[2],0.14858879999999994
"[1, 2]",1,0.18,0.47,[2],0.17641439999999992
"[1, 2]",1,0.18,0.5,[2],0.20423999999999992
"[1, 2]",1,0.18,0.53,[2],0.2320655999999999
"[1, 2]",1,0.18,0.56,[2],0.2598912
"[1, 2]",1,0.18,0.59,[2],0.28771679999999994
"[1, 2]",1,0.18,0.62,[2],0.3155424
"[1, 2]",1,0.18,0.65,[2],0.34336800000000006
"[1, 2]",1,0.18,0.68,[2],0.37119359999999996
"[1, 2]",1,0.18,0.71,[2],0.39901919999999996
"[1, 2]",1,0.18,0.74,[2],0.4268448000000001
"[1, 2]",1,0.18,0.76,[2],0.4453952
"[1, 2]",1,0.18,0.79,[2],0.4732207999999999
"[1, 2]",1,0.18,0.82,[2],0.5010463999999999
"[1, 2]",1,0.18,0.85,[2],0.5288719999999999
"[1, 2]",1,0.18,0.88,[2],0.5566975999999999
"[1, 2]",1,0.18,0.91,[2],0.5845232
"[1, 2]",1,0.18,0.94,[2],0.6123487999999999
"[1, 2]",1,0.18,0.97,[2],0.6401743999999999
"[1, 2]",1,0.18,1.0,[2],0.6679999999999999
"[1, 2]",1,0.21,0.0,[],0.0
"[1, 2]",1,0.21,0.03,[],0.0
"[1, 2]",1,0.21,0.06,[],0.0
"[1, 2]",1,0.21,0.09,[],0.0
"[1, 2]",1,0.21,0.12,[],0.0
"[1, 2]",1,0.21,0.15,[],0.0
"[1, 2]",1,0.21,0.18,[],0.0
"[1, 2]",1,0.21,0.21,[],0.0
"[1, 2]",1,0.21,0.24,[],0.0
"[1, 2]",1,0.21,0.26,[],0.0
"[1, 2]",1,0.21,0.29,[2],0.009460799999999908
"[1, 2]",1,0.21,0.32,[2],0.037286399999999956
"[1, 2]",1,0.21,0.35,[2],0.06511199999999986
"[1, 2]",1,0.21,0.38,[2],0.0929375999999999
"[1, 2]",1,0.21,0.41,[2],0.12076319999999986
"[1, 2]",1,0.21,0.44,[2],0.14858879999999994
"[1, 2]",1,0.21,0.47,[2],0.17641439999999992
"[1, 2]",1,0.21,0.5,[2],0.20423999999999992
"[1, 2]",1,0.21,0.53,[2],0.2320655999999999
"[1, 2]",1,0.21,0.56,[2],0.2598912
"[1, 2]",1,0.21,0.59,[2],0.28771679999999994
"[1, 2]",1,0.21,0.62,[2],0.3155424
"[1, 2]",1,0.21,0.65,[2],0.34336800000000006
"[1, 2]",1,0.21,0.68,[2],0.37119359999999996
"[1, 2]",1,0.21,0.71,[2],0.39901919999999996
"[1, 2]",1,0.21,0.74,[2],0.4268448000000001
"[1, 2]",1,0.21,0.76,[2],0.4453952
"[1, 2]",1,0.21,0.79,[2],0.4732207999999999
"[1, 2]",1,0.21,0.82,[2],0.5010463999999999
"[1, 2]",1,0.21,0.85,[2],0.5288719999999999
"[1, 2]",1,0.21,0.88,[2],0.5566975999999999
"[1, 2]",1,0.21,0.91,[2],0.5845232
"[1, 2]",1,0.21,0.94,[2],0.6123487999999999
"[1, 2]",1,0.21,0.97,[2],0.6401743999999999
"[1, 2]",1,0.21,1.0,[2],0.6679999999999999
"[1, 2]",1,0.24,0.0,[],0.0
"[1, 2]",1,0.24,0.03,[],0.0
"[1, 2]",1,0.24,0.06,[],0.0
"[1, 2]",1,0.24,0.09,[],0.0
"[1, 2]",1,0.24,0.12,[],0.0
"[1, 2]",1,0.24,0.15,[],0.0
"[1, 2]",1,0.24,0.18,[],0.0
"[1, 2]",1,0.24,0.21,[],0.0
"[1, 2]",1,0.24,0.24,[],0.0
"[1, 2]",1,0.24,0.26,[],0.0
"[1, 2]",1,0.24,0.29,[2],0.009460799999999908
"[1, 2]",1,0.24,0.32,[2],0.037286399999999956
"[1, 2]",1,0.24,0.35,[2],0.06511199999999986
"[1, 2]",1,0.24,0.38,[2],0.0929375999999999
"[1, 2]",1,0.24,0.41,[2],0.12076319999999986
"[1, 2]",1,0.24,0.44,[2],0.14858879999999994
"[1, 2]",1,0.24,0.47,[2],0.17641439999999992
"[1, 2]",1,0.24,0.5,[2],0.20423999999999992
"[1, 2]",1,0.24,0.53,[2],0.2320655999999999
"[1, 2]",1,0.24,0.56,[2],0.2598912
"[1, 2]",1,0.24,0.59,[2],0.28771679999999994
"[1, 2]",1,0.24,0.62,[2],0.3155424
"[1, 2]",1,0.24,0.65,[2],0.34336800000000006
"[1, 2]",1,0.24,0.68,[2],0.37119359999999996
"[1, 2]",1,0.24,0.71,[2],0.39901919999999996
"[1, 2]",1,0.24,0.74,[2],0.4268448000000001
"[1, 2]",1,0.24,0.76,[2],0.4453952
"[1, 2]",1,0.24,0.79,[2],0.4732207999999999
"[1, 2]",1,0.24,0.82,[2],0.5010463999999999
"[1, 2]",1,0.24,0.85,[2],0.5288719999999999
"[1, 2]",1,0.24,0.88,[2],0.5566975999999999
"[1, 2]",1,0.24,0.91,[2],0.5845232
"[1, 2]",1,0.24,0.94,[2],0.6123487999999999
"[1, 2]",1,0.24,0.97,[2],0.6401743999999999
"[1, 2]",1,0.24,1.0,[2],0.6679999999999999
"[1, 2]",1,0.26,0.0,[],0.0
"[1, 2]",1,0.26,0.03,[],0.0
"[1, 2]",1,0.26,0.06,[],0.0
"[1, 2]",1,0.26,0.09,[],0.0
"[1, 2]",1,0.26,0.12,[],0.0
"[1, 2]",1,0.26,0.15,[],0.0
"[1, 2]",1,0.26,0.18,[],0.0
"[1, 2]",1,0.26,0.21,[],0.0
"[1, 2]",1,0.26,0.24,[],0.0
"[1, 2]",1,0.26,0.26,[],0.0
"[1, 2]",1,0.26,0.29,[2],0.009460799999999908
"[1, 2]",1,0.26,0.32,[2],0.037286399999999956
"[1, 2]",1,0.26,0.35,[2],0.06511199999999986
"[1, 2]",1,0.26,0.38,[2],0.0929375999999999
"[1, 2]",1,0.26,0.41,[2],0.12076319999999986
"[1, 2]",1,0.26,0.44,[2],0.14858879999999994
"[1, 2]",1,0.26,0.47,[2],0.17641439999999992
"[1, 2]",1,0.26,0.5,[2],0.20423999999999992
"[1, 2]",1,0.26,0.53,[2],0.2320655999999999
"[1, 2]",1,0.26,0.56,[2],0.2598912
"[1, 2]",1,0.26,0.59,[2],0.28771679999999994
"[1, 2]",1,0.26,0.62,[2],0.3155424
"[1, 2]",1,0.26,0.65,[2],0.34336800000000006
"[1, 2]",1,0.26,0.68,[2],0.37119359999999996
"[1, 2]",1,0.26,0.71,[2],0.39901919999999996
"[1, 2]",1,0.26,0.74,[2],0.4268448000000001
"[1, 2]",1,0.26,0.76,[2],0.4453952
"[1, 2]",1,0.26,0.79,[2],0.4732207999999999
"[1, 2]",1,0.26,0.82,[2],0.5010463999999999
"[1, 2]",1,0.26,0.85,[2],0.5288719999999999
"[1, 2]",1,0.26,0.88,[2],0.5566975999999999
"[1, 2]",1,0.26,0.91,[2],0.5845232
"[1, 2]",1,0.26,0.94,[2],0.6123487999999999
"[1, 2]",1,0.26,0.97,[2],0.6401743999999999
"[1, 2]",1,0.26,1.0,[2],0.6679999999999999
"[1, 2]",1,0.29,0.0,[],0.0
"[1, 2]",1,0.29,0.03,[],0.0
"[1, 2]",1,0.29,0.06,[],0.0
"[1, 2]",1,0.29,0.09,[],0.0
"[1, 2]",1,0.29,0.12,[],0.0
"[1, 2]",1,0.29,0.15,[],0.0
"[1, 2]",1,0.29,0.18,[],0.0
"[1, 2]",1,0.29,0.21,[],0.0
"[1, 2]",1,0.29,0.24,[],0.0
"[1, 2]",1,0.29,0.26,[],0.0
"[1, 2]",1,0.29,0.29,[2],0.009460799999999908
"[1, 2]",1,0.29,0.32,[2],0.037286399999999956
"[1, 2]",1,0.29,0.35,[2],0.06511199999999986
"[1, 2]",1,0.29,0.38,[2],0.0929375999999999
"[1, 2]",1,0.29,0.41,[2],0.12076319999999986
"[1, 2]",1,0.29,0.44,[2],0.14858879999999994
"[1, 2]",1,0.29,0.47,[2],0.17641439999999992
"[1, 2]",1,0.29,0.5,[2],0.20423999999999992
"[1, 2]",1,0.29,0.53,[2],0.2320655999999999
"[1, 2]",1,0.29,0.56,[2],0.2598912
"[1, 2]",1,0.29,0.59,[2],0.28771679999999994
"[1, 2]",1,0.29,0.62,[2],0.3155424
"[1, 2]",1,0.29,0.65,[2],0.34336800000000006
"[1, 2]",1,0.29,0.68,[2],0.37119359999999996
"[1, 2]",1,0.29,0.71,[2],0.39901919999999996
"[1, 2]",1,0.29,0.74,[2],0.4268448000000001
"[1, 2]",1,0.29,0.76,[2],0.4453952
"[1, 2]",1,0.29,0.79,[2],0.4732207999999999
"[1, 2]",1,0.29,0.82,[2],0.5010463999999999
"[1, 2]",1,0.29,0.85,[2],0.5288719999999999
"[1, 2]",1,0.29,0.88,[2],0.5566975999999999
"[1, 2]",1,0.29,0.91,[2],0.5845232
"[1, 2]",1,0.29,0.94,[2],0.6123487999999999
"[1, 2]",1,0.29,0.97,[2],0.6401743999999999
"[1, 2]",1,0.29,1.0,[2],0.6679999999999999
"[1, 2]",1,0.32,0.0,[],0.0
"[1, 2]",1,0.32,0.03,[],0.0
"[1, 2]",1,0.32,0.06,[],0.0
"[1, 2]",1,0.32,0.09,[],0.0
"[1, 2]",1,0.32,0.12,[],0.0
"[1, 2]",1,0.32,0.15,[],0.0
"[1, 2]",1,0.32,0.18,[],0.0
"[1, 2]",1,0.32,0.21,[],0.0
"[1, 2]",1,0.32,0.24,[],0.0
"[1, 2]",1,0.32,0.26,[],0.0
"[1, 2]",1,0.32,0.29,[2],0.009460799999999908
"[1, 2]",1,0.32,0.32,[2],0.037286399999999956
"[1, 2]",1,0.32,0.35,[2],0.06511199999999986
"[1, 2]",1,0.32,0.38,[2],0.0929375999999999
"[1, 2]",1,0.32,0.41,[2],0.12076319999999986
"[1, 2]",1,0.32,0.44,[2],0.14858879999999994
"[1, 2]",1,0.32,0.47,[2],0.17641439999999992
"[1, 2]",1,0.32,0.5,[2],0.20423999999999992
"[1, 2]",1,0.32,0.53,[2],0.2320655999999999
"[1, 2]",1,0.32,0.56,[2],0.2598912
"[1, 2]",1,0.32,0.59,[2],0.28771679999999994
"[1, 2]",1,0.32,0.62,[2],0.3155424
"[1, 2]",1,0.32,0.65,[2],0.34336800000000006
"[1, 2]",1,0.32,0.68,[2],0.37119359999999996
"[1, 2]",1,0.32,0.71,[2],0.39901919999999996
"[1, 2]",1,0.32,0.74,[2],0.4268448000000001
"[1, 2]",1,0.32,0.76,[2],0.4453952
"[1, 2]",1,0.32,0.79,[2],0.4732207999999999
"[1, 2]",1,0.32,0.82,[2],0.5010463999999999
"[1, 2]",1,0.32,0.85,[2],0.5288719999999999
"[1, 2]",1,0.32,0.88,[2],0.5566975999999999
"[1, 2]",1,0.32,0.91,[2],0.5845232
"[1, 2]",1,0.32,0.94,[2],0.6123487999999999
"[1, 2]",1,0.32,0.97,[2],0.6401743999999999
"[1, 2]",1,0.32,1.0,[2],0.6679999999999999
"[1, 2]",1,0.35,0.0,[],0.0
"[1, 2]",1,0.35,0.03,[],0.0
"[1, 2]",1,0.35,0.06,[],0.0
"[1, 2]",1,0.35,0.09,[],0.0
"[1, 2]",1,0.35,0.12,[],0.0
"[1, 2]",1,0.35,0.15,[],0.0
"[1, 2]",1,0.35,0.18,[],0.0
"[1, 2]",1,0.35,0.21,[],0.0
"[1, 2]",1,0.35,0.24,[],0.0
"[1, 2]",1,0.35,0.26,[],0.0
"[1, 2]",1,0.35,0.29,[2],0.009460799999999908
"[1, 2]",1,0.35,0.32,[2],0.037286399999999956
"[1, 2]",1,0.35,0.35,[2],0.06511199999999986
"[1, 2]",1,0.35,0.38,[2],0.0929375999999999
"[1, 2]",1,0.35,0.41,[2],0.12076319999999986
"[1, 2]",1,0.35,0.44,[2],0.14858879999999994
"[1, 2]",1,0.35,0.47,[2],0.17641439999999992
"[1, 2]",1,0.35,0.5,[2],0.20423999999999992
"[1, 2]",1,0.35,0.53,[2],0.2320655999999999
"[1, 2]",1,0.35,0.56,[2],0.2598912
"[1, 2]",1,0.35,0.59,[2],0.28771679999999994
"[1, 2]",1,0.35,0.62,[2],0.3155424
"[1, 2]",1,0.35,0.65,[2],0.34336800000000006
"[1, 2]",1,0.35,0.68,[2],0.37119359999999996
"[1, 2]",1,0.35,0.71,[2],0.39901919999999996
"[1, 2]",1,0.35,0.74,[2],0.4268448000000001
"[1, 2]",1,0.35,0.76,[2],0.4453952
"[1, 2]",1,0.35,0.79,[2],0.4732207999999999
"[1, 2]",1,0.35,0.82,[2],0.5010463999999999
"[1, 2]",1,0.35,0.85,[2],0.5288719999999999
"[1, 2]",1,0.35,0.88,[2],0.5566975999999999
"[1, 2]",1,0.35,0.91,[2],0.5845232
"[1, 2]",1,0.35,0.94,[2],0.6123487999999999
"[1, 2]",1,0.35,0.97,[2],0.6401743999999999
"[1, 2]",1,0.35,1.0,[2],0.6679999999999999
"[1, 2]",1,0.38,0.0,[],0.0
"[1, 2]",1,0.38,0.03,[],0.0
"[1, 2]",1,0.38,0.06,[],0.0
"[1, 2]",1,0.38,0.09,[],0.0
"[1, 2]",1,0.38,0.12,[],0.0
"[1, 2]",1,0.38,0.15,[],0.0
"[1, 2]",1,0.38,0.18,[],0.0
"[1, 2]",1,0.38,0.21,[],0.0
"[1, 2]",1,0.38,0.24,[],0.0
"[1, 2]",1,0.38,0.26,[],0.0
"[1, 2]",1,0.38,0.29,[2],0.009460799999999908
"[1, 2]",1,0.38,0.32,[2],0.037286399999999956
"[1, 2]",1,0.38,0.35,[2],0.06511199999999986
"[1, 2]",1,0.38,0.38,[2],0.0929375999999999
"[1, 2]",1,0.38,0.41,[2],0.12076319999999986
"[1, 2]",1,0.38,0.44,[2],0.14858879999999994
"[1, 2]",1,0.38,0.47,[2],0.17641439999999992
"[1, 2]",1,0.38,0.5,[2],0.20423999999999992
"[1, 2]",1,0.38,0.53,[2],0.2320655999999999
"[1, 2]",1,0.38,0.56,[2],0.2598912
"[1, 2]",1,0.38,0.59,[2],0.28771679999999994
"[1, 2]",1,0.38,0.62,[2],0.3155424
"[1, 2]",1,0.38,0.65,[2],0.34336800000000006
"[1, 2]",1,0.38,0.68,[2],0.37119359999999996
"[1, 2]",1,0.38,0.71,[2],0.39901919999999996
"[1, 2]",1,0.38,0.74,[2],0.4268448000000001
"[1, 2]",1,0.38,0.76,[2],0.4453952
"[1, 2]",1,0.38,0.79,[2],0.4732207999999999
"[1, 2]",1,0.38,0.82,[2],0.5010463999999999
"[1, 2]",1,0.38,0.85,[2],0.5288719999999999
"[1, 2]",1,0.38,0.88,[2],0.5566975999999999
"[1, 2]",1,0.38,0.91,[2],0.5845232
"[1, 2]",1,0.38,0.94,[2],0.6123487999999999
"[1, 2]",1,0.38,0.97,[2],0.6401743999999999
"[1, 2]",1,0.38,1.0,[2],0.6679999999999999
"[1, 2]",1,0.41,0.0,[],0.0
"[1, 2]",1,0.41,0.03,[],0.0
"[1, 2]",1,0.41,0.06,[],0.0
"[1, 2]",1,0.41,0.09,[],0.0
"[1, 2]",1,0.41,0.12,[],0.0
"[1, 2]",1,0.41,0.15,[],0.0
"[1, 2]",1,0.41,0.18,[],0.0
"[1, 2]",1,0.41,0.21,[],0.0
"[1, 2]",1,0.41,0.24,[],0.0
"[1, 2]",1,0.41,0.26,[],0.0
